"","ZCTA5","STATE","COUNTY","TRACT","GEOID","POPPT","HUPT","AREAPT","AREALANDPT","ZPOP","ZHU","ZAREA","ZAREALAND","TRPOP","TRHU","TRAREA","TRAREALAND","ZPOPPCT","ZHUPCT","ZAREAPCT","ZAREALANDPCT","TRPOPPCT","TRHUPCT","TRAREAPCT","TRAREALANDPCT"
"26721",20009,11,1,3000,11001003000,1702,696,87034,87034,47992,29093,3431536,3405906,3398,1599,209673,209673,3.55,2.39,2.54,2.56,50.09,43.53,41.51,41.51
"26722",20009,11,1,3600,11001003600,4208,2308,305552,305552,47992,29093,3431536,3405906,4208,2308,305552,305552,8.77,7.93,8.9,8.97,100,100,100,100
"26723",20009,11,1,3700,11001003700,5763,2570,292983,292983,47992,29093,3431536,3405906,5763,2570,292983,292983,12.01,8.83,8.54,8.6,100,100,100,100
"26724",20009,11,1,3800,11001003800,4614,2861,355843,355843,47992,29093,3431536,3405906,4614,2861,355843,355843,9.61,9.83,10.37,10.45,100,100,100,100
"26725",20009,11,1,3900,11001003900,4474,2996,401015,380082,47992,29093,3431536,3405906,4474,2996,401015,380082,9.32,10.3,11.69,11.16,100,100,100,100
"26726",20009,11,1,4001,11001004001,3745,2489,275863,271166,47992,29093,3431536,3405906,3745,2489,275863,271166,7.8,8.56,8.04,7.96,100,100,100,100
"26727",20009,11,1,4002,11001004002,2797,1916,196096,196096,47992,29093,3431536,3405906,2797,1916,196096,196096,5.83,6.59,5.71,5.76,100,100,100,100
"26728",20009,11,1,4201,11001004201,3342,2259,204528,204528,47992,29093,3431536,3405906,3342,2259,204528,204528,6.96,7.76,5.96,6.01,100,100,100,100
"26729",20009,11,1,4202,11001004202,2771,1915,194776,194776,47992,29093,3431536,3405906,2771,1915,208409,208409,5.77,6.58,5.68,5.72,100,100,93.46,93.46
"26730",20009,11,1,4300,11001004300,3255,2084,236646,236646,47992,29093,3431536,3405906,3255,2084,236646,236646,6.78,7.16,6.9,6.95,100,100,100,100
"26731",20009,11,1,4400,11001004400,3007,1838,292116,292116,47992,29093,3431536,3405906,4572,2651,521741,521741,6.27,6.32,8.51,8.58,65.77,69.33,55.99,55.99
"26732",20009,11,1,5001,11001005001,1126,543,124474,124474,47992,29093,3431536,3405906,1955,1003,204752,204752,2.35,1.87,3.63,3.65,57.6,54.14,60.79,60.79
"26733",20009,11,1,5201,11001005201,1634,1065,130292,130292,47992,29093,3431536,3405906,6077,4548,339712,339712,3.4,3.66,3.8,3.83,26.89,23.42,38.35,38.35
"26734",20009,11,1,5301,11001005301,2527,1814,117635,117635,47992,29093,3431536,3405906,5051,3890,286398,286398,5.27,6.24,3.43,3.45,50.03,46.63,41.07,41.07
"26735",20009,11,1,5500,11001005500,279,185,49031,49031,47992,29093,3431536,3405906,6671,4983,637548,628198,0.58,0.64,1.43,1.44,4.18,3.71,7.69,7.81
"26736",20010,11,1,1302,11001001302,349,316,5667,5667,30138,13861,2824131,2807752,6857,5375,1592444,1592352,1.16,2.28,0.2,0.2,5.09,5.88,0.36,0.36
"26737",20010,11,1,2302,11001002302,109,5,413523,413523,30138,13861,2824131,2807752,2036,1573,2015426,2010128,0.36,0.04,14.64,14.73,5.35,0.32,20.52,20.57
"26738",20010,11,1,2400,11001002400,217,73,27043,27043,30138,13861,2824131,2807752,3618,1384,556361,556361,0.72,0.53,0.96,0.96,6,5.27,4.86,4.86
"26739",20010,11,1,2502,11001002502,1549,610,139451,139451,30138,13861,2824131,2807752,5973,2415,604505,604505,5.14,4.4,4.94,4.97,25.93,25.26,23.07,23.07
"26740",20010,11,1,2701,11001002701,5233,2845,451448,451448,30138,13861,2824131,2807752,5233,2845,451448,451448,17.36,20.53,15.99,16.08,100,100,100,100
"26741",20010,11,1,2702,11001002702,4183,1929,415537,399158,30138,13861,2824131,2807752,5226,2565,504468,488089,13.88,13.92,14.71,14.22,80.04,75.2,82.37,81.78
"26742",20010,11,1,2801,11001002801,3773,1820,171911,171911,30138,13861,2824131,2807752,3773,1820,171911,171911,12.52,13.13,6.09,6.12,100,100,100,100
"26743",20010,11,1,2802,11001002802,2572,1224,151247,151247,30138,13861,2824131,2807752,4277,2142,229968,229968,8.53,8.83,5.36,5.39,60.14,57.14,65.77,65.77
"26744",20010,11,1,2900,11001002900,3962,1643,302154,302154,30138,13861,2824131,2807752,3962,1643,302154,302154,13.15,11.85,10.7,10.76,100,100,100,100
"26745",20010,11,1,3000,11001003000,1696,903,122639,122639,30138,13861,2824131,2807752,3398,1599,209673,209673,5.63,6.51,4.34,4.37,49.91,56.47,58.49,58.49
"26746",20010,11,1,3100,11001003100,2030,816,229944,229944,30138,13861,2824131,2807752,2885,1131,294805,294805,6.74,5.89,8.14,8.19,70.36,72.15,78,78
"26747",20010,11,1,3200,11001003200,4465,1677,393567,393567,30138,13861,2824131,2807752,4913,1840,444898,444898,14.82,12.1,13.94,14.02,90.88,91.14,88.46,88.46
"26748",20011,11,1,1702,11001001702,106,41,92920,92920,58536,25082,12738136,12631549,2644,1312,936896,936896,0.18,0.16,0.73,0.74,4.01,3.13,9.92,9.92
