GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC55
Id,Id2,Geography,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes)
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",32.4
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",30.9
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",34.6
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",30.4
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",34.6
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",33.7
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",33
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",32.9
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",31.7
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",31.9
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",31.5
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",32.8
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",32.5
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",34.1
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",30.4
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",28.3
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",29.2
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",27.5
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",31.6
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",28.9
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",28.7
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",28.3
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",31.1
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",28.5
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",29
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",24.4
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",25.6
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",27.6
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",28.1
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",25.2
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",28.2
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",31.2
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",23.1
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",30.5
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",25.2
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",24.9
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",24.3
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",24
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",23
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",24.9
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",24.3
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",25.7
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",25.2
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",21.8
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",23.1
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",N
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",29.9
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",22.9
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",25.8
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",27.8
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",29.8
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",29.6
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",N
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",28.2
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",21.1
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",27
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",22.1
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",15
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",33.1
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",42.8
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",38.7
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",38.3
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",35.8
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",28.6
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",36.1
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",37.7
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",35
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",36.3
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",37.2
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",32.9
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",36
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",33.2
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",38.9
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",31.4
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",38.3
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",39.1
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",36.1
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",32.2
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",30.4
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",35.9
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",35.6
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",42
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",35.5
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",28.5
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",35.1
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",30.8
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",27.7
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",30.1
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",24
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",25.1
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",27.3
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",27.5
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",32.3
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",30.4
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",30.1
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",30.2
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",28.3
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",35.3
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",31.6
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",31.5
1400000US11001009000,11001009000,"Census Tract 90, District of Columbia, District of Columbia",31.7
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",32.6
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",29.3
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",32.7
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",36.3
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",30
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",28.4
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",34.1
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",28.1
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",30.4
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",30
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",34.5
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",30.7
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",30.7
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",29.7
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",32.2
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",37.2
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",34.4
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",33.6
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",38.2
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",36.1
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",48.2
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",36.2
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",37.1
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",34.1
1400000US11001009810,11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",51.7
1400000US11001009811,11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",46.7
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",33.5
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",32.5
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",36.6
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",37.5
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",35.4
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",37
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",40.2
1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",21.9
1400000US11001010200,11001010200,"Census Tract 102, District of Columbia, District of Columbia",25.3
1400000US11001010300,11001010300,"Census Tract 103, District of Columbia, District of Columbia",35.4
1400000US11001010400,11001010400,"Census Tract 104, District of Columbia, District of Columbia",37.3
1400000US11001010500,11001010500,"Census Tract 105, District of Columbia, District of Columbia",28
1400000US11001010600,11001010600,"Census Tract 106, District of Columbia, District of Columbia",29.2
1400000US11001010700,11001010700,"Census Tract 107, District of Columbia, District of Columbia",24.2
1400000US11001010800,11001010800,"Census Tract 108, District of Columbia, District of Columbia",19.2
1400000US11001010900,11001010900,"Census Tract 109, District of Columbia, District of Columbia",33.7
1400000US11001011000,11001011000,"Census Tract 110, District of Columbia, District of Columbia",27.7
1400000US11001011100,11001011100,"Census Tract 111, District of Columbia, District of Columbia",29
