GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
8610000US20376,20376,"ZIP 20376 (Washington Navy Yard, DC)",0,Total for all sectors,2015,12,109,1360,5730
8610000US20380,20380,"ZIP 20380 (Washington, DC)",0,Total for all sectors,2015,4,5,472,1910
8610000US20388,20388,"ZIP 20388 (Washington Navy Yard, DC)",0,Total for all sectors,2015,5,13,379,1502
8610000US20390,20390,"ZIP 20390 (Washington, DC)",0,Total for all sectors,2015,2,b,D,D
8610000US20391,20391,"ZIP 20391 (Washington Navy Yard, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20392,20392,"ZIP 20392 (Washington, DC)",0,Total for all sectors,2015,2,a,D,D
8610000US20393,20393,"ZIP 20393 (Washington, DC)",0,Total for all sectors,2015,2,b,D,D
8610000US20395,20395,"ZIP 20395 (Washington, DC)",0,Total for all sectors,2015,10,46,782,2879
8610000US20398,20398,"ZIP 20398 (Washington Navy Yard, DC)",0,Total for all sectors,2015,3,11,184,390
8610000US20401,20401,"ZIP 20401 (Washington, DC)",0,Total for all sectors,2015,4,67,630,1539
8610000US20403,20403,"ZIP 20403 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20405,20405,"ZIP 20405 (Washington, DC)",0,Total for all sectors,2015,6,93,1026,4178
8610000US20407,20407,"ZIP 20407 (Washington, DC)",0,Total for all sectors,2015,4,38,453,1673
8610000US20408,20408,"ZIP 20408 (Washington, DC)",0,Total for all sectors,2015,3,107,1309,5619
8610000US20410,20410,"ZIP 20410 (Washington, DC)",0,Total for all sectors,2015,14,88,1141,4539
8610000US20413,20413,"ZIP 20413 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20415,20415,"ZIP 20415 (Washington, DC)",0,Total for all sectors,2015,7,114,3330,13534
8610000US20416,20416,"ZIP 20416 (Washington, DC)",0,Total for all sectors,2015,2,b,D,D
8610000US20417,20417,"ZIP 20417 (Washington, DC)",0,Total for all sectors,2015,1,b,D,D
8610000US20418,20418,"ZIP 20418 (Washington, DC)",0,Total for all sectors,2015,3,c,D,D
8610000US20420,20420,"ZIP 20420 (Washington, DC)",0,Total for all sectors,2015,10,81,1328,5868
8610000US20421,20421,"ZIP 20421 (Washington, DC)",0,Total for all sectors,2015,3,14,119,539
8610000US20422,20422,"ZIP 20422 (Washington, DC)",0,Total for all sectors,2015,6,g,D,D
8610000US20426,20426,"ZIP 20426 (Washington, DC)",0,Total for all sectors,2015,6,168,1763,8770
8610000US20427,20427,"ZIP 20427 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20429,20429,"ZIP 20429 (Washington, DC)",0,Total for all sectors,2015,5,56,579,2110
8610000US20431,20431,"ZIP 20431 (Washington, DC)",0,Total for all sectors,2015,47,368,3824,16682
8610000US20433,20433,"ZIP 20433 (Washington, DC)",0,Total for all sectors,2015,30,795,8414,38663
8610000US20434,20434,"ZIP 20434 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20436,20436,"ZIP 20436 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20447,20447,"ZIP 20447 (Washington, DC)",0,Total for all sectors,2015,4,69,994,3731
8610000US20456,20456,"ZIP 20456 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20460,20460,"ZIP 20460 (Washington, DC)",0,Total for all sectors,2015,8,68,1245,5276
8610000US20472,20472,"ZIP 20472 (Washington, DC)",0,Total for all sectors,2015,6,16,350,1519
